stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
0,48.0,44.0,4.0,45.0,57.0,29.0,57.0,o3,sedang
0,61.0,44.0,18.0,41.0,59.0,16.0,61.0,pm10,sedang
0,56.0,44.0,4.0,44.0,45.0,13.0,56.0,pm10,sedang
0,50.0,44.0,2.0,34.0,27.0,25.0,50.0,pm10,baik
0,44.0,44.0,6.0,33.0,0.0,12.0,44.0,pm10,baik
0,58.0,44.0,5.0,57.0,0.0,14.0,58.0,pm10,sedang
0,59.0,44.0,5.0,46.0,0.0,21.0,59.0,pm10,sedang
0,57.0,44.0,4.0,31.0,88.0,18.0,88.0,o3,sedang
0,37.0,44.0,4.0,18.0,0.0,10.0,44.0,pm25,baik
0,39.0,44.0,0.0,29.0,0.0,10.0,44.0,pm25,baik
0,63.0,44.0,7.0,50.0,0.0,22.0,63.0,pm10,sedang
0,70.0,44.0,9.0,52.0,0.0,27.0,70.0,pm10,sedang
0,70.0,44.0,14.0,42.0,62.0,25.0,70.0,pm10,sedang
0,65.0,44.0,15.0,54.0,102.0,27.0,102.0,o3,tidak sehat
0,59.0,44.0,12.0,46.0,27.0,15.0,59.0,pm10,sedang
0,40.0,44.0,10.0,33.0,33.0,12.0,44.0,pm25,baik
0,45.0,44.0,10.0,31.0,21.0,11.0,45.0,pm10,baik
0,66.0,44.0,19.0,39.0,80.0,25.0,80.0,o3,sedang
0,57.0,44.0,17.0,34.0,80.0,24.0,80.0,o3,sedang
0,70.0,44.0,16.0,40.0,59.0,21.0,70.0,pm10,sedang
0,70.0,44.0,13.0,57.0,41.0,19.0,70.0,pm10,sedang
0,38.0,44.0,11.0,30.0,42.0,13.0,44.0,pm25,baik
0,38.0,44.0,10.0,26.0,28.0,12.0,44.0,pm25,baik
0,36.0,44.0,9.0,22.0,27.0,10.0,44.0,pm25,baik
0,36.0,44.0,0.0,24.0,20.0,10.0,44.0,pm25,baik
0,39.0,44.0,0.0,27.0,24.0,12.0,44.0,pm25,baik
0,41.0,44.0,0.0,23.0,30.0,12.0,44.0,pm25,baik
0,37.0,44.0,0.0,34.0,25.0,14.0,44.0,pm25,baik
0,29.0,44.0,0.0,22.0,23.0,12.0,44.0,pm25,baik
0,31.0,44.0,0.0,28.0,36.0,12.0,44.0,pm25,baik
0,50.0,44.0,0.0,26.0,55.0,29.0,55.0,o3,sedang
0,58.0,44.0,0.0,31.0,67.0,29.0,67.0,o3,sedang
0,67.0,44.0,0.0,30.0,52.0,18.0,67.0,pm10,sedang
0,56.0,44.0,0.0,26.0,30.0,15.0,56.0,pm10,sedang
0,61.0,44.0,0.0,34.0,61.0,26.0,61.0,pm10,sedang
0,76.0,44.0,0.0,42.0,42.0,24.0,76.0,pm10,sedang
0,60.0,44.0,0.0,24.0,28.0,10.0,60.0,pm10,sedang
0,58.0,44.0,16.0,19.0,31.0,13.0,58.0,pm10,sedang
0,60.0,44.0,16.0,29.0,73.0,18.0,73.0,o3,sedang
0,53.0,44.0,13.0,27.0,31.0,16.0,53.0,pm10,sedang
0,53.0,44.0,16.0,26.0,35.0,15.0,53.0,pm10,sedang
0,53.0,44.0,19.0,25.0,21.0,11.0,53.0,pm10,sedang
0,67.0,44.0,19.0,33.0,33.0,16.0,67.0,pm10,sedang
0,57.0,44.0,16.0,24.0,26.0,9.0,57.0,pm10,sedang
0,0.0,44.0,16.0,28.0,51.0,16.0,51.0,o3,sedang
0,0.0,44.0,14.0,43.0,75.0,26.0,75.0,o3,sedang
0,0.0,44.0,14.0,42.0,60.0,24.0,60.0,o3,sedang
0,61.0,44.0,12.0,50.0,32.0,19.0,61.0,pm10,sedang
0,52.0,44.0,15.0,40.0,65.0,21.0,65.0,o3,sedang
0,59.0,44.0,12.0,46.0,69.0,26.0,69.0,o3,sedang
0,52.0,44.0,14.0,45.0,92.0,26.0,92.0,o3,sedang
0,56.0,44.0,12.0,29.0,65.0,15.0,65.0,o3,sedang
0,55.0,44.0,15.0,55.0,32.0,16.0,55.0,pm10,sedang
0,57.0,44.0,17.0,45.0,50.0,25.0,57.0,pm10,sedang
0,69.0,44.0,14.0,39.0,79.0,18.0,79.0,o3,sedang
0,58.0,44.0,14.0,38.0,57.0,21.0,58.0,pm10,sedang
0,53.0,44.0,14.0,37.0,60.0,18.0,60.0,o3,sedang
0,63.0,44.0,16.0,50.0,54.0,21.0,63.0,pm10,sedang
0,57.0,44.0,14.0,28.0,50.0,23.0,57.0,pm10,sedang
0,54.0,44.0,15.0,37.0,42.0,21.0,54.0,pm10,sedang
0,56.0,44.0,18.0,34.0,43.0,18.0,56.0,pm10,sedang
0,55.0,44.0,15.0,41.0,123.0,34.0,123.0,o3,tidak sehat
0,58.0,44.0,17.0,50.0,113.0,29.0,113.0,o3,tidak sehat
0,68.0,44.0,21.0,49.0,24.0,25.0,68.0,pm10,sedang
0,54.0,44.0,16.0,30.0,28.0,14.0,54.0,pm10,sedang
0,59.0,44.0,14.0,41.0,64.0,16.0,64.0,o3,sedang
0,56.0,44.0,16.0,33.0,25.0,15.0,56.0,pm10,sedang
0,55.0,44.0,20.0,35.0,31.0,20.0,55.0,pm10,sedang
0,58.0,44.0,14.0,42.0,93.0,26.0,93.0,o3,sedang
0,72.0,44.0,19.0,38.0,55.0,22.0,72.0,pm10,sedang
0,59.0,44.0,18.0,36.0,30.0,19.0,59.0,pm10,sedang
0,57.0,44.0,15.0,39.0,87.0,21.0,87.0,o3,sedang
0,59.0,44.0,18.0,47.0,42.0,25.0,59.0,pm10,sedang
0,70.0,44.0,16.0,39.0,52.0,21.0,70.0,pm10,sedang
0,77.0,44.0,19.0,95.0,18.0,30.0,95.0,co,sedang
0,54.0,44.0,20.0,36.0,45.0,25.0,54.0,pm10,sedang
0,79.0,44.0,23.0,46.0,34.0,24.0,79.0,pm10,sedang
0,60.0,44.0,21.0,33.0,27.0,14.0,60.0,pm10,sedang
